feature,importance,config
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.17393894298759244,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_firstorder_Maximum,0.1693416679390879,radiomics3d_plus_simple
square_gldm_SmallDependenceLowGrayLevelEmphasis,0.1667430884449555,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glcm_Contrast,0.16574929696230445,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_glcm_ClusterShade,0.165293403446608,radiomics3d_plus_simple
wavelet-LLL_glcm_MCC,0.16367857025761764,radiomics3d_plus_simple
lbp-3D-m1_firstorder_Skewness,0.163522887221177,radiomics3d_plus_simple
wavelet-HLH_glcm_Idn,0.16322820794414925,radiomics3d_plus_simple
wavelet-LHL_firstorder_RootMeanSquared,0.16055302938286117,radiomics3d_plus_simple
wavelet-LLL_firstorder_Range,0.15933764927313673,radiomics3d_plus_simple
lbp-3D-m1_firstorder_90Percentile,0.1584480750848498,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_firstorder_Maximum,0.15778536742208968,radiomics3d_plus_simple
gradient_glcm_Imc2,0.15577628136880955,radiomics3d_plus_simple
exponential_glcm_Correlation,0.15552336990474128,radiomics3d_plus_simple
logarithm_firstorder_Range,0.155134372737583,radiomics3d_plus_simple
wavelet-LHH_glszm_ZoneEntropy,0.151860073554573,radiomics3d_plus_simple
wavelet-HHL_glcm_Imc1,0.15161443937490446,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_InverseVariance,0.15061848019687168,radiomics3d_plus_simple
wavelet-LLH_firstorder_90Percentile,0.14738104462686033,radiomics3d_plus_simple
gradient_firstorder_Minimum,0.1472258352955565,radiomics3d_plus_simple
lbp-3D-m2_glcm_ClusterProminence,0.1451245242821822,radiomics3d_plus_simple
lbp-3D-m1_glrlm_HighGrayLevelRunEmphasis,0.14413249795880004,radiomics3d_plus_simple
lbp-3D-k_glcm_DifferenceEntropy,0.14378962187486136,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.13762609679199114,radiomics3d_plus_simple
