feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
log-sigma-4-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.008926261390884954,0.009084961643941753,0.0065900125223766325,0.01390104547284826,0.0030476905639080813,0.0018961927266500128,0.019196365668641482,0.2259805721066882,109,glszm,112
original_firstorder_Maximum,0.008569510337254617,0.00788019741244048,0.021423775843136827,0.0009621541315639624,0.006060525336257275,0.013213231736069114,0.001187864639245573,0.34147830830279147,81,firstorder,113
exponential_firstorder_90Percentile,0.008539753858919303,0.008663704293181734,0.0072164175718866935,0.013511646609482912,0.010966600336931573,0.00959207258796768,0.0014120321883265472,0.14554222298734182,133,firstorder,114
gradient_firstorder_Kurtosis,0.008493809500901128,0.008201545250447244,0.01240521198682816,0.00038750505146989216,0.008656269088648971,0.010726755709281863,0.010293305668277276,0.19273819800286884,119,firstorder,115
original_glcm_Contrast,0.008295042101202231,0.0084472596006131,0.01506818386251206,0.005669421390493562,0.00033247863775350526,0.017019955693880283,0.0033851709213718792,0.16274534563313198,127,glcm,116
lbp-3D-k_glcm_DifferenceEntropy,0.008157957714236165,0.010683112748504473,0.013797498925241134,0.017638583470801356,0.001219875516816498,0.0027538266610555224,0.005380003997265717,0.18653949237241116,121,glcm,117
square_firstorder_Kurtosis,0.008117293632729405,0.007232152971195457,0.005965266343465111,0.004403468143694119,0.010257975746138402,0.007701753106070341,0.012258004824278775,0.19164365939277359,120,firstorder,118
lbp-3D-m2_glcm_Imc2,0.008010850732508975,0.007857059347382084,0.019054438570650867,0.0027660318319159037,0.0036490269787458653,0.013612068020611172,0.0009726882606211526,0.19288754871579475,118,glcm,119
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.007820933217597024,0.00814336315742337,0.01370950580663507,0.004640563023384611,0.007900906878964251,0.009834053124523243,0.0030196372544764724,0.18356233988507503,123,glszm,120
lbp-3D-k_glszm_SizeZoneNonUniformity,0.007753178516675564,0.00770447116861301,0.01036296548031957,0.004800185299223076,0.0016352578735302902,0.007384722937838976,0.014582760992465716,0.12584483636445565,141,glszm,121
lbp-3D-k_glszm_ZoneEntropy,0.007613696666421712,0.008009844448311708,0.015552343628241073,0.006403151425795916,0.003931148864003276,0.002488634398254743,0.009693205015813599,0.1962716158914021,116,glszm,122
lbp-3D-k_firstorder_10Percentile,0.007602837121694558,0.0072851763722494335,0.014534289569906537,0.004667127463133389,0.011579882384608678,0.00277719453520923,0.004455691655615062,0.25605906977058296,101,firstorder,123
lbp-3D-m1_glszm_SizeZoneNonUniformity,0.007594432199163665,0.0075695451808241165,0.010173150008167955,0.003965833257502515,0.004847097232238542,0.01311328558955171,0.005872794908357566,0.09565572744618991,163,glszm,124
wavelet-HHH_glcm_Imc1,0.007510492434425285,0.007205018943473205,0.010546587081100943,0.0030267018602479177,0.0024878781486003592,0.0035311143913834622,0.017960180690795066,0.323273197552344,87,glcm,125
log-sigma-4-0-mm-3D_gldm_LargeDependenceEmphasis,0.007507184632381993,0.007519730752424812,0.010803783327983648,0.007377569803038827,0.010769112271693719,0.006428978986063283,0.0021564787731300087,0.04094558922761269,195,gldm,126
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.007311694756931441,0.007122005033948768,0.017608861189306605,0.009259140488331706,0.006679967477779645,0.0016974099818829276,0.0013130946473558626,0.342719159019719,80,glcm,127
lbp-3D-k_firstorder_90Percentile,0.007108134077176827,0.00858721517738135,0.00604856021263219,0.016951656094332395,0.0070715608875881256,0.0008053198540122022,0.0046635733373194856,0.14274451495767596,135,firstorder,128
lbp-3D-m2_gldm_DependenceEntropy,0.007107258030362915,0.006866714621370255,0.0010616052982098962,0.0050771748114575325,0.006320666436235703,0.005347359545990591,0.017729484059920465,0.4056503605305099,67,gldm,129
