feature,feature_class,n,spearman_rho_vs_grade,spearman_p,abs_rho,bonferroni_alpha,significant_bonferroni,importance,importance_rank
wavelet-LLH_firstorder_Median,firstorder,630,0.7176988301079886,8.776950602743623e-101,0.7176988301079886,9.671179883945843e-05,True,0.0,388
log-sigma-4-0-mm-3D_glcm_MCC,glcm,630,-0.7171024013330729,1.5280964745148874e-100,0.7171024013330729,9.671179883945843e-05,True,0.0,365
exponential_firstorder_Variance,firstorder,630,-0.7153580099293863,7.67155854522049e-100,0.7153580099293863,9.671179883945843e-05,True,0.0,320
lbp-3D-k_firstorder_90Percentile,firstorder,630,0.713044589226683,6.398756408509771e-99,0.713044589226683,9.671179883945843e-05,True,0.14274451495767596,135
log-sigma-3-0-mm-3D_firstorder_Median,firstorder,630,0.7125512981119638,1.0030968663028419e-98,0.7125512981119638,9.671179883945843e-05,True,0.5602723371712879,54
logarithm_glcm_Idn,glcm,630,0.7114692701852876,2.6802282669343776e-98,0.7114692701852876,9.671179883945843e-05,True,0.0,256
logarithm_firstorder_Mean,firstorder,630,-0.7108942833855479,4.510082782818169e-98,0.7108942833855479,9.671179883945843e-05,True,0.07069533465106269,176
original_glcm_Contrast,glcm,630,-0.709917479501178,1.0886073641413358e-97,0.709917479501178,9.671179883945843e-05,True,0.16274534563313198,127
log-sigma-5-0-mm-3D_glcm_Correlation,glcm,630,-0.7088329629982504,2.883333524329276e-97,0.7088329629982504,9.671179883945843e-05,True,1.968961971802148,8
lbp-3D-k_firstorder_Median,firstorder,630,0.7079737254889079,6.218197957801859e-97,0.7079737254889079,9.671179883945843e-05,True,0.6663332542057928,42
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,glszm,630,0.7068652994839311,1.6689305589138748e-96,0.7068652994839311,9.671179883945843e-05,True,0.5497459391206164,56
squareroot_glszm_GrayLevelNonUniformity,glszm,630,0.7049622013626544,8.993828356109386e-96,0.7049622013626544,9.671179883945843e-05,True,0.8974641844762937,34
wavelet-LLL_glcm_ClusterProminence,glcm,630,-0.6923534853758984,4.531488236048669e-91,0.6923534853758984,9.671179883945843e-05,True,0.0,467
wavelet-LLL_glcm_SumEntropy,glcm,630,-0.6840070017258182,4.3416114322244983e-88,0.6840070017258182,9.671179883945843e-05,True,2.8056355956415238,5
log-sigma-3-0-mm-3D_glcm_JointEntropy,glcm,630,-0.6836722002400382,5.690580761881688e-88,0.6836722002400382,9.671179883945843e-05,True,0.342719159019719,80
original_firstorder_Kurtosis,firstorder,630,0.6758193847616852,2.9283005614123245e-85,0.6758193847616852,9.671179883945843e-05,True,1.1287397767637146,23
log-sigma-5-0-mm-3D_glcm_Imc2,glcm,630,-0.6740353018236455,1.1774091697453925e-84,0.6740353018236455,9.671179883945843e-05,True,0.0,431
log-sigma-3-0-mm-3D_glcm_MCC,glcm,630,-0.6735388434300609,1.7311485216178107e-84,0.6735388434300609,9.671179883945843e-05,True,1.0738408341861996,27
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,firstorder,630,-0.6670917467510012,2.4151393872227264e-82,0.6670917467510012,9.671179883945843e-05,True,0.6247469186130915,47
logarithm_gldm_GrayLevelNonUniformity,gldm,630,0.6669838330353729,2.620484563937475e-82,0.6669838330353729,9.671179883945843e-05,True,0.0,310
log-sigma-3-0-mm-3D_glcm_Correlation,glcm,630,-0.658167284982253,1.8379396899386155e-79,0.658167284982253,9.671179883945843e-05,True,0.0,376
logarithm_firstorder_TotalEnergy,firstorder,630,-0.6538678296081399,4.1457915405523922e-78,0.6538678296081399,9.671179883945843e-05,True,1.408871396566541,18
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,630,-0.6537640383824636,4.466866065623376e-78,0.6537640383824636,9.671179883945843e-05,True,0.0,491
wavelet-LLL_glcm_Imc2,glcm,630,-0.649060051113264,1.2732518377275158e-76,0.649060051113264,9.671179883945843e-05,True,1.2589311934308223,19
